game 0 : Score 0 : 90, score 1 : 0
game 1 : Score 0 : 90, score 1 : 100
game 2 : Score 0 : 180, score 1 : 100
game 3 : Score 0 : 280, score 1 : 100
game 4 : Score 0 : 280, score 1 : 190
game 5 : Score 0 : 280, score 1 : 280
game 6 : Score 0 : 360, score 1 : 280
game 7 : Score 0 : 460, score 1 : 280
game 8 : Score 0 : 620, score 1 : 280
game 9 : Score 0 : 780, score 1 : 280
game 10 : Score 0 : 780, score 1 : 370
game 11 : Score 0 : 780, score 1 : 460
game 12 : Score 0 : 860, score 1 : 460
game 13 : Score 0 : 940, score 1 : 460
game 14 : Score 0 : 1030, score 1 : 460
game 15 : Score 0 : 1110, score 1 : 460
game 16 : Score 0 : 1200, score 1 : 460
game 17 : Score 0 : 1290, score 1 : 460
game 18 : Score 0 : 1380, score 1 : 460
game 19 : Score 0 : 1470, score 1 : 460
game 20 : Score 0 : 1570, score 1 : 460
game 21 : Score 0 : 1570, score 1 : 550
game 22 : Score 0 : 1660, score 1 : 550
game 23 : Score 0 : 1660, score 1 : 630
game 24 : Score 0 : 1820, score 1 : 630
game 25 : Score 0 : 1900, score 1 : 630
game 26 : Score 0 : 2000, score 1 : 630
game 27 : Score 0 : 2090, score 1 : 630
game 28 : Score 0 : 2090, score 1 : 720
game 29 : Score 0 : 2180, score 1 : 720
game 30 : Score 0 : 2270, score 1 : 720
game 31 : Score 0 : 2360, score 1 : 720
game 32 : Score 0 : 2440, score 1 : 720
game 33 : Score 0 : 2440, score 1 : 820
game 34 : Score 0 : 2520, score 1 : 820
game 35 : Score 0 : 2610, score 1 : 820
game 36 : Score 0 : 2690, score 1 : 820
game 37 : Score 0 : 2780, score 1 : 820
game 38 : Score 0 : 2870, score 1 : 820
game 39 : Score 0 : 2960, score 1 : 820
game 40 : Score 0 : 2960, score 1 : 910
game 41 : Score 0 : 3120, score 1 : 910
game 42 : Score 0 : 3210, score 1 : 910
game 43 : Score 0 : 3210, score 1 : 1000
game 44 : Score 0 : 3370, score 1 : 1000
game 45 : Score 0 : 3460, score 1 : 1000
game 46 : Score 0 : 3460, score 1 : 1090
game 47 : Score 0 : 3460, score 1 : 1170
game 48 : Score 0 : 3460, score 1 : 1330
game 49 : Score 0 : 3460, score 1 : 1420
game 50 : Score 0 : 3620, score 1 : 1420
game 51 : Score 0 : 3710, score 1 : 1420
game 52 : Score 0 : 3800, score 1 : 1420
game 53 : Score 0 : 3880, score 1 : 1420
game 54 : Score 0 : 4040, score 1 : 1420
