game 0, score 0 : 46, score 1 : 116
game 1, score 0 : 40, score 1 : 122
game 2, score 0 : 118, score 1 : 44
game 3, score 0 : 57, score 1 : 105
game 4, score 0 : 84, score 1 : 78
game 5, score 0 : 0, score 1 : 162
game 6, score 0 : 66, score 1 : 96
game 7, score 0 : 102, score 1 : 60
game 8, score 0 : 102, score 1 : 60
game 9, score 0 : 156, score 1 : 6
game 10, score 0 : 55, score 1 : 107
game 11, score 0 : 62, score 1 : 100
game 12, score 0 : 146, score 1 : 16
game 13, score 0 : 155, score 1 : 7
game 14, score 0 : 60, score 1 : 102
game 15, score 0 : 44, score 1 : 118
game 16, score 0 : 69, score 1 : 93
game 17, score 0 : 124, score 1 : 38
game 18, score 0 : 0, score 1 : 162
game 19, score 0 : 40, score 1 : 122
game 20, score 0 : 111, score 1 : 51
game 21, score 0 : 132, score 1 : 30
game 22, score 0 : 145, score 1 : 17
game 23, score 0 : 59, score 1 : 103
game 24, score 0 : 107, score 1 : 55
game 25, score 0 : 24, score 1 : 138
game 26, score 0 : 0, score 1 : 162
game 27, score 0 : 38, score 1 : 124
game 28, score 0 : 52, score 1 : 110
game 29, score 0 : 139, score 1 : 23
game 30, score 0 : 97, score 1 : 65
game 31, score 0 : 0, score 1 : 162
game 32, score 0 : 43, score 1 : 119
game 33, score 0 : 42, score 1 : 120
game 34, score 0 : 95, score 1 : 67
game 35, score 0 : 107, score 1 : 55
game 36, score 0 : 89, score 1 : 73
game 37, score 0 : 85, score 1 : 77
game 38, score 0 : 127, score 1 : 35
game 39, score 0 : 24, score 1 : 138
game 40, score 0 : 44, score 1 : 118
game 41, score 0 : 138, score 1 : 24
game 42, score 0 : 10, score 1 : 152
game 43, score 0 : 18, score 1 : 144
game 44, score 0 : 127, score 1 : 35
game 45, score 0 : 78, score 1 : 84
game 46, score 0 : 38, score 1 : 124
game 47, score 0 : 99, score 1 : 63
game 48, score 0 : 72, score 1 : 90
game 49, score 0 : 102, score 1 : 60
game 50, score 0 : 114, score 1 : 48
game 51, score 0 : 93, score 1 : 69
game 52, score 0 : 75, score 1 : 87
game 53, score 0 : 65, score 1 : 97
game 54, score 0 : 138, score 1 : 24
game 55, score 0 : 24, score 1 : 138
game 56, score 0 : 94, score 1 : 68
game 57, score 0 : 120, score 1 : 42
game 58, score 0 : 92, score 1 : 70
game 59, score 0 : 13, score 1 : 149
game 60, score 0 : 18, score 1 : 144
game 61, score 0 : 123, score 1 : 39
game 62, score 0 : 76, score 1 : 86
game 63, score 0 : 140, score 1 : 22
game 64, score 0 : 0, score 1 : 162
game 65, score 0 : 75, score 1 : 87
game 66, score 0 : 130, score 1 : 32
game 67, score 0 : 62, score 1 : 100
game 68, score 0 : 116, score 1 : 46
game 69, score 0 : 32, score 1 : 130
game 70, score 0 : 140, score 1 : 22
game 71, score 0 : 117, score 1 : 45
game 72, score 0 : 95, score 1 : 67
game 73, score 0 : 23, score 1 : 139
game 74, score 0 : 93, score 1 : 69
game 75, score 0 : 109, score 1 : 53
game 76, score 0 : 99, score 1 : 63
game 77, score 0 : 115, score 1 : 47
game 78, score 0 : 101, score 1 : 61
game 79, score 0 : 36, score 1 : 126
game 80, score 0 : 95, score 1 : 67
game 81, score 0 : 147, score 1 : 15
game 82, score 0 : 64, score 1 : 98
game 83, score 0 : 79, score 1 : 83
game 84, score 0 : 69, score 1 : 93
game 85, score 0 : 41, score 1 : 121
game 86, score 0 : 103, score 1 : 59
game 87, score 0 : 76, score 1 : 86
game 88, score 0 : 50, score 1 : 112
game 89, score 0 : 119, score 1 : 43
game 90, score 0 : 90, score 1 : 72
game 91, score 0 : 126, score 1 : 36
game 92, score 0 : 118, score 1 : 44
game 93, score 0 : 50, score 1 : 112
game 94, score 0 : 146, score 1 : 16
game 95, score 0 : 81, score 1 : 81
game 96, score 0 : 94, score 1 : 68
game 97, score 0 : 68, score 1 : 94
game 98, score 0 : 130, score 1 : 32
game 99, score 0 : 112, score 1 : 50
game 100, score 0 : 47, score 1 : 115
game 101, score 0 : 109, score 1 : 53
game 102, score 0 : 96, score 1 : 66
game 103, score 0 : 132, score 1 : 30
game 104, score 0 : 120, score 1 : 42
game 105, score 0 : 44, score 1 : 118
game 106, score 0 : 103, score 1 : 59
game 107, score 0 : 118, score 1 : 44
game 108, score 0 : 113, score 1 : 49
game 109, score 0 : 96, score 1 : 66
game 110, score 0 : 103, score 1 : 59
game 111, score 0 : 122, score 1 : 40
game 112, score 0 : 101, score 1 : 61
