game 0 : Score 0 : 90, score 1 : 0
game 1 : Score 0 : 180, score 1 : 0
game 2 : Score 0 : 270, score 1 : 0
game 3 : Score 0 : 430, score 1 : 0
game 4 : Score 0 : 430, score 1 : 160
game 5 : Score 0 : 430, score 1 : 250
game 6 : Score 0 : 430, score 1 : 330
game 7 : Score 0 : 430, score 1 : 420
game 8 : Score 0 : 520, score 1 : 420
game 9 : Score 0 : 610, score 1 : 420
game 10 : Score 0 : 610, score 1 : 500
game 11 : Score 0 : 610, score 1 : 580
game 12 : Score 0 : 700, score 1 : 580
game 13 : Score 0 : 860, score 1 : 580
game 14 : Score 0 : 950, score 1 : 580
game 15 : Score 0 : 1110, score 1 : 580
game 16 : Score 0 : 1190, score 1 : 580
game 17 : Score 0 : 1190, score 1 : 660
game 18 : Score 0 : 1190, score 1 : 760
game 19 : Score 0 : 1190, score 1 : 850
game 20 : Score 0 : 1190, score 1 : 940
game 21 : Score 0 : 1280, score 1 : 940
game 22 : Score 0 : 1280, score 1 : 1020
game 23 : Score 0 : 1360, score 1 : 1020
game 24 : Score 0 : 1520, score 1 : 1020
game 25 : Score 0 : 1520, score 1 : 1110
game 26 : Score 0 : 1520, score 1 : 1200
game 27 : Score 0 : 1520, score 1 : 1360
game 28 : Score 0 : 1600, score 1 : 1360
game 29 : Score 0 : 1760, score 1 : 1360
game 30 : Score 0 : 1840, score 1 : 1360
game 31 : Score 0 : 2000, score 1 : 1360
game 32 : Score 0 : 2080, score 1 : 1360
game 33 : Score 0 : 2160, score 1 : 1360
game 34 : Score 0 : 2240, score 1 : 1360
game 35 : Score 0 : 2240, score 1 : 1440
game 36 : Score 0 : 2240, score 1 : 1540
game 37 : Score 0 : 2240, score 1 : 1630
game 38 : Score 0 : 2320, score 1 : 1630
game 39 : Score 0 : 2480, score 1 : 1630
game 40 : Score 0 : 2560, score 1 : 1630
game 41 : Score 0 : 2560, score 1 : 1720
game 42 : Score 0 : 2560, score 1 : 1880
game 43 : Score 0 : 2650, score 1 : 1880
game 44 : Score 0 : 2650, score 1 : 1970
game 45 : Score 0 : 2650, score 1 : 2130
game 46 : Score 0 : 2650, score 1 : 2290
game 47 : Score 0 : 2650, score 1 : 2450
game 48 : Score 0 : 2650, score 1 : 2610
game 49 : Score 0 : 2810, score 1 : 2610
game 50 : Score 0 : 2900, score 1 : 2610
game 51 : Score 0 : 2900, score 1 : 2770
game 52 : Score 0 : 2990, score 1 : 2770
game 53 : Score 0 : 2990, score 1 : 2930
game 54 : Score 0 : 3080, score 1 : 2930
game 55 : Score 0 : 3170, score 1 : 2930
game 56 : Score 0 : 3260, score 1 : 2930
game 57 : Score 0 : 3260, score 1 : 3030
game 58 : Score 0 : 3260, score 1 : 3110
game 59 : Score 0 : 3350, score 1 : 3110
game 60 : Score 0 : 3350, score 1 : 3200
game 61 : Score 0 : 3430, score 1 : 3200
game 62 : Score 0 : 3520, score 1 : 3200
game 63 : Score 0 : 3610, score 1 : 3200
game 64 : Score 0 : 3700, score 1 : 3200
game 65 : Score 0 : 3700, score 1 : 3280
game 66 : Score 0 : 3700, score 1 : 3370
game 67 : Score 0 : 3700, score 1 : 3460
game 68 : Score 0 : 3700, score 1 : 3550
game 69 : Score 0 : 3790, score 1 : 3550
game 70 : Score 0 : 3880, score 1 : 3550
game 71 : Score 0 : 3880, score 1 : 3650
game 72 : Score 0 : 3880, score 1 : 3740
game 73 : Score 0 : 4040, score 1 : 3740
game 74 : Score 0 : 4040, score 1 : 3830
game 75 : Score 0 : 4130, score 1 : 3830
game 76 : Score 0 : 4130, score 1 : 3920
game 77 : Score 0 : 4230, score 1 : 3920
game 78 : Score 0 : 4320, score 1 : 3920
game 79 : Score 0 : 4410, score 1 : 3920
game 80 : Score 0 : 4490, score 1 : 3920
game 81 : Score 0 : 4580, score 1 : 3920
game 82 : Score 0 : 4740, score 1 : 3920
game 83 : Score 0 : 4740, score 1 : 4010
game 84 : Score 0 : 4900, score 1 : 4010
game 85 : Score 0 : 4990, score 1 : 4010
game 86 : Score 0 : 4990, score 1 : 4090
game 87 : Score 0 : 5080, score 1 : 4090
game 88 : Score 0 : 5080, score 1 : 4170
game 89 : Score 0 : 5170, score 1 : 4170
game 90 : Score 0 : 5170, score 1 : 4250
game 91 : Score 0 : 5170, score 1 : 4340
game 92 : Score 0 : 5250, score 1 : 4340
game 93 : Score 0 : 5250, score 1 : 4420
game 94 : Score 0 : 5340, score 1 : 4420
game 95 : Score 0 : 5500, score 1 : 4420
game 96 : Score 0 : 5500, score 1 : 4520
game 97 : Score 0 : 5500, score 1 : 4610
game 98 : Score 0 : 5660, score 1 : 4610
game 99 : Score 0 : 5740, score 1 : 4610
game 100 : Score 0 : 5740, score 1 : 4710
